branchName,Category,Subcategory,Half Value,Year,Item Code,Size,Unique Code,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T327HZUKB,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T32C44K6T,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T322JQ5WK,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T32KC2T41,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T3208YAPC,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T32GFYPUO,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T32YVJSFG,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T32NAY334,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,32,3PP0924T3252UDM2,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38E3AC1E,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38WAOQY4,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38PB3L1Y,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38UIV1ZE,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38N89J2A,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ382VBPP3,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38VAV37B,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ3828RUAJ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38D7FLHN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38ALS66F,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38DBTEWK,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38B6CB2N,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ3835B583,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ386NK2P6,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38SBSI4T,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38TZQA6I,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ38UPTYRY,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,38,3PP0924BZ389LKIJ0,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38TR0OIV,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38O97J7F,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC385TPT30,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38DWSYU3,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38CCYXRR,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38O9NPCN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38UR6FU1,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC385VEGAU,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38KXUT1N,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC389JV9E5,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC387DCFT9,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38G0G6RN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38RK2EL5,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38ISVQBL,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38H9MJ9Y,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC3825Y6RK,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38JTQ54S,,,,,,,,,
